Date,Open,Close,High,Low,Volume
2024-01-02 00:00:00-05:00,250.0800018310547,248.4199981689453,251.25,244.41000366210938,104654200
2024-01-03 00:00:00-05:00,244.97999572753906,238.4499969482422,245.67999267578125,236.32000732421875,121082600
2024-01-04 00:00:00-05:00,239.25,237.92999267578125,242.6999969482422,237.72999572753906,102629300
2024-01-05 00:00:00-05:00,236.86000061035156,237.49000549316406,240.1199951171875,234.89999389648438,92379400
2024-01-08 00:00:00-05:00,236.13999938964844,240.4499969482422,241.25,235.3000030517578,85166600
2024-01-09 00:00:00-05:00,238.11000061035156,234.9600067138672,238.9600067138672,232.0399932861328,96705700
2024-01-10 00:00:00-05:00,235.10000610351562,233.94000244140625,235.5,231.2899932861328,91628500
2024-01-11 00:00:00-05:00,230.57000732421875,227.22000122070312,230.92999267578125,225.3699951171875,105873600
2024-01-12 00:00:00-05:00,220.0800018310547,218.88999938964844,225.33999633789062,217.14999389648438,122889000
2024-01-16 00:00:00-05:00,215.10000610351562,219.91000366210938,223.49000549316406,212.17999267578125,115355000
2024-01-17 00:00:00-05:00,214.86000061035156,215.5500030517578,215.6699981689453,212.00999450683594,103164400
2024-01-18 00:00:00-05:00,216.8800048828125,211.8800048828125,217.4499969482422,208.74000549316406,108595400
2024-01-19 00:00:00-05:00,209.99000549316406,212.19000244140625,213.19000244140625,207.55999755859375,102095800
2024-01-22 00:00:00-05:00,212.25999450683594,208.8000030517578,217.8000030517578,206.27000427246094,117952500
2024-01-23 00:00:00-05:00,211.3000030517578,209.13999938964844,215.64999389648438,207.75,106605900
2024-01-24 00:00:00-05:00,211.8800048828125,207.8300018310547,212.72999572753906,206.77000427246094,123369900
2024-01-25 00:00:00-05:00,189.6999969482422,182.6300048828125,193.0,180.05999755859375,198076800
2024-01-26 00:00:00-05:00,185.5,183.25,186.77999877929688,182.10000610351562,107343200
2024-01-29 00:00:00-05:00,185.6300048828125,190.92999267578125,191.47999572753906,183.6699981689453,125013100
2024-01-30 00:00:00-05:00,195.3300018310547,191.58999633789062,196.36000061035156,190.61000061035156,109982300
2024-01-31 00:00:00-05:00,187.0,187.2899932861328,193.97000122070312,185.85000610351562,103221400
2024-02-01 00:00:00-05:00,188.5,188.86000061035156,189.8800048828125,184.27999877929688,91843300
2024-02-02 00:00:00-05:00,185.0399932861328,187.91000366210938,188.69000244140625,182.0,110505100
2024-02-05 00:00:00-05:00,184.25999450683594,181.05999755859375,184.67999267578125,175.00999450683594,134294400
2024-02-06 00:00:00-05:00,177.2100067138672,185.10000610351562,186.49000549316406,177.11000061035156,122676000
2024-02-07 00:00:00-05:00,188.17999267578125,187.5800018310547,189.7899932861328,182.67999267578125,111535200
2024-02-08 00:00:00-05:00,189.0,189.55999755859375,191.6199951171875,185.5800018310547,83034000
2024-02-09 00:00:00-05:00,190.17999267578125,193.57000732421875,194.1199951171875,189.47999572753906,84476300
2024-02-12 00:00:00-05:00,192.11000061035156,188.1300048828125,194.72999572753906,187.27999877929688,95498600
2024-02-13 00:00:00-05:00,183.99000549316406,184.02000427246094,187.25999450683594,182.11000061035156,86759500
2024-02-14 00:00:00-05:00,185.3000030517578,188.7100067138672,188.88999938964844,183.35000610351562,81203000
2024-02-15 00:00:00-05:00,189.16000366210938,200.4499969482422,200.8800048828125,188.86000061035156,120831800
2024-02-16 00:00:00-05:00,202.05999755859375,199.9499969482422,203.1699981689453,197.39999389648438,111173600
2024-02-20 00:00:00-05:00,196.1300048828125,193.75999450683594,198.60000610351562,189.1300048828125,104545800
2024-02-21 00:00:00-05:00,193.36000061035156,194.77000427246094,199.44000244140625,191.9499969482422,103844000
2024-02-22 00:00:00-05:00,194.0,197.41000366210938,198.32000732421875,191.36000061035156,92739500
